image_id,image_path,editing_type_id,editing_prompt,ssim,lpips,clip_score,psnr,mse,dino_distance
000000000000,0_random_140/000000000000.jpg,0,a slanted [rusty] mountain bicycle on the road in front of a building,0.5650736689567566,0.29311469197273254,30.095657348632812,14.904967308044434,0.03232237324118614,0.015080665238201618
000000000001,0_random_140/000000000001.jpg,0,a [square] cake with orange frosting on a wooden plate,0.3498692512512207,0.44053226709365845,29.35076332092285,9.60052490234375,0.10963454097509384,0.03125663101673126
000000000002,0_random_140/000000000002.jpg,0,a [dog] sitting on a wooden chair,0.46962761878967285,0.48640426993370056,33.960960388183594,10.531742095947266,0.0884760394692421,0.07611647248268127
000000000003,0_random_140/000000000003.jpg,0,"blue light, a black and white [dog] is playing with a flower",0.34642326831817627,0.4730449914932251,35.52200698852539,9.685630798339844,0.10750702023506165,0.07482711970806122
000000000004,0_random_140/000000000004.jpg,0,a [silver] cat [sculpture] sitting next to a mirror,0.41797277331352234,0.4285508394241333,30.644798278808594,11.184441566467285,0.07613001018762589,0.03932797908782959
000000000005,0_random_140/000000000005.jpg,0,an [black] cat sitting on top of a fence,0.45208048820495605,0.6666743755340576,31.09409523010254,7.141706466674805,0.19312091171741486,0.05362651124596596
000000000006,0_random_140/000000000006.jpg,0,a cup of coffee with drawing of [lion] putted on the wooden table,0.48790809512138367,0.505100667476654,37.402488708496094,11.415959358215332,0.07217786461114883,0.07067526131868362
000000000007,0_random_140/000000000007.jpg,0,a german shepherd dog stands on the grass with mouth [opened],0.3768438696861267,0.4473426640033722,33.50142288208008,13.38007926940918,0.04591895267367363,0.03263334184885025
000000000008,0_random_140/000000000008.jpg,0,a golden retriever sitting on the ground in front of fence,0.32827723026275635,0.425263911485672,26.70856475830078,10.686519622802734,0.08537841588258743,0.06370700895786285
000000000009,0_random_140/000000000009.jpg,0,a [lion] is laying down on a white background,0.6483670473098755,0.294701486825943,31.97174644470215,11.682978630065918,0.06787377595901489,0.08436179906129837
000000000010,0_random_140/000000000010.jpg,0,photo of a [horse] and a cat standing on rocks near the ocean,0.5501167178153992,0.3339434266090393,35.06065368652344,12.577775001525879,0.05523602291941643,0.0384284108877182
000000000011,0_random_140/000000000011.jpg,0,a [red] bird standing on a branch,0.7290129661560059,0.4278319776058197,33.48077392578125,13.042112350463867,0.04963507875800133,0.02817012183368206
000000000012,0_random_140/000000000012.jpg,0,meat [sushi] on white plate,0.2972980737686157,0.508551299571991,25.619823455810547,8.022958755493164,0.15765368938446045,0.06701168417930603
000000000013,0_random_140/000000000013.jpg,0,three white [sushi] on brown bowl,0.6345216035842896,0.34580197930336,28.137741088867188,10.351058959960938,0.09223464876413345,0.031154148280620575
000000000014,0_random_140/000000000014.jpg,0,a man with his hands [rasing] standing by a house,0.3827611804008484,0.4272988736629486,27.312395095825195,10.509084701538086,0.08893885463476181,0.023933719843626022
000000000015,0_random_140/000000000015.jpg,0,white plate with [pizza] on it,0.6080907583236694,0.3944835364818573,29.11781120300293,12.702140808105469,0.05367672070860863,0.07478557527065277
000000000016,0_random_140/000000000016.jpg,0,a plate with [salmon] on it,0.3968840539455414,0.5945818424224854,31.322580337524414,8.47502326965332,0.14206843078136444,0.08543353527784348
000000000017,0_random_140/000000000017.jpg,0,photo of a statue [in side view],0.35666555166244507,0.5172460079193115,29.26110076904297,7.677460193634033,0.1707080453634262,0.032783616334199905
000000000018,0_random_140/000000000018.jpg,0,the statue of liberty holding a [flower],0.5741523504257202,0.3166252374649048,30.63947296142578,10.498509407043457,0.08915568143129349,0.027983013540506363
000000000019,0_random_140/000000000019.jpg,0,white [cat] on brown ground,0.2295149862766266,0.48419255018234253,33.57497787475586,10.05268669128418,0.09879416227340698,0.05873674526810646
000000000020,0_random_140/000000000020.jpg,0,two [origami] birds sitting on a branch,0.49185097217559814,0.5624662041664124,31.20533561706543,8.92842960357666,0.12798438966274261,0.055830616503953934
000000000021,0_random_140/000000000021.jpg,0,"two [kissing] parrots sitting on a stick, city street background",0.2631077766418457,0.4614405035972595,35.09004592895508,8.400564193725586,0.1445251852273941,0.037094611674547195
000000000022,0_random_140/000000000022.jpg,0,an orange van with [flowers] on top,0.4306350648403168,0.39463064074516296,32.267425537109375,10.614944458007812,0.08679715543985367,0.03150774538516998
000000000023,0_random_140/000000000023.jpg,0,a [white] horse in the field,0.35447701811790466,0.30973488092422485,33.344024658203125,11.833722114562988,0.0655583068728447,0.02006351947784424
000000000024,0_random_140/000000000024.jpg,0,a [golden] horse running in the sunset,0.25087782740592957,0.44746968150138855,33.0029411315918,10.044261932373047,0.09898599237203598,0.02551952935755253
000000000025,0_random_140/000000000025.jpg,0,a [storm-trooper] with blue hair wearing a shirt,0.5026730298995972,0.6173555850982666,29.815086364746094,13.109244346618652,0.04887373372912407,0.028448158875107765
000000000026,0_random_140/000000000026.jpg,0,a [crochet] bird with a red beak sitting on a branch,0.39282703399658203,0.657913327217102,36.34138870239258,7.566413402557373,0.175129234790802,0.08254612237215042
